R.U.N. del Fondo,Nombre Fondo Inversión,Tipo de Fondo de Inversión,R.U.T. Administradora,Fecha Resolución de aprobación del reglamento interno del fondo,Fecha Inicio Operaciones
9278-9,AINA FONDO DE INVERSION,No Rescatable,96514410-2,30/12/2015,2/3/2016
9709-8,AMERIS CARTERAS COMERCIALES I FONDO DE INVERSION,No Rescatable,76503273-3,19/01/2019,22/01/2019
9744-6,AMERIS CESL II FONDO DE INVERSIÓN,No Rescatable,76503273-3,7/5/2019,
9413-7,AMERIS DESARROLLO INMOBILIARIO PERÚ FONDO DE INVERSIÓN,No Rescatable,76503273-3,21/12/2016,6/1/2017
9472-2,AMERIS DESARROLLO INMOBILIARIO VI FONDO DE INVERSIÓN,No Rescatable,76503273-3,24/06/2017,1/8/2017
9495-1,AMERIS DEUDA DIRECTA FONDO DE INVERSION,No Rescatable,76503273-3,10/8/2017,28/08/2017
9702-0,AMERIS LGT CCO II FONDO DE INVERSIÓN,No Rescatable,76503273-3,26/12/2018,
9378-5,AMERIS LGT SECONDARIES IV FONDO DE INVERSIÓN,No Rescatable,76503273-3,14/09/2016,24/01/2017
9292-4,AMERIS MULTIFAMILY I FONDO DE INVERSION,No Rescatable,76503273-3,30/01/2016,29/01/2016
9401-3,AMERIS MULTIFAMILY II FONDO DE INVERSIÓN,No Rescatable,76503273-3,26/11/2016,20/12/2016
9461-7,AMERIS NM GUARDIAN II FONDO DE INVERSIÓN,No Rescatable,76503273-3,8/6/2017,18/07/2017
9689-K,AMERIS PARAUCO FONDO DE INVERSIÓN,No Rescatable,76503273-3,27/11/2018,31/01/2019
9506-0,AMERIS PRIVATE EQUITY NORDIC IX FONDO DE INVERSIÓN,No Rescatable,76503273-3,26/08/2017,22/03/2019
9613-K,AMERIS RENTA RESIDENCIAL FONDO DE INVERSIÓN,No Rescatable,76503273-3,15/05/2018,24/07/2018
9683-0,AMERIS RENTAS INMOBILIARIAS USA I FONDO DE INVERSIÓN,No Rescatable,76503273-3,16/11/2018,
9338-6,AMERIS UPC DESARROLLO INMOBILIARIO FONDO DE INVERSION,No Rescatable,76503273-3,22/06/2016,5/7/2016
9408-0,ASSET ATLAS RENEWABLE ENERGY FONDO DE INVERSIÓN,No Rescatable,76172904-7,13/12/2016,19/12/2016
9558-3,ASSET PHOENIX INFRASTRUCTURE FONDO DE INVERSION,No Rescatable,76172904-7,16/12/2017,16/12/2017
9379-3,ASSET- CRESCENT FONDO DE INVERSIÓN,No Rescatable,76172904-7,15/09/2016,9/11/2016
9151-0,BANCHILE FONDO DE INVERSION MINERO ASSET CHILE,No Rescatable,96767630-6,26/02/2015,25/02/2015
9662-8,BCI LMV II-B FONDO DE INVERSION,No Rescatable,96530900-4,3/10/2018,28/11/2018
9113-8,BCI SMALL CAP CHILE FONDO DE INVERSION,No Rescatable,96530900-4,26/12/2014,30/12/2014
9087-5,BICE ENERGIAS RENOVABLES FONDO DE INVERSION,No Rescatable,96514410-2,7/11/2014,27/02/2015
9627-K,BICE GLOBAL CREDIT OPPORTUNITIES FONDO DE INVERSION,No Rescatable,96514410-2,28/06/2018,1/10/2018
7236-2,BICE INMOBILIARIO II FONDO DE INVERSION,No Rescatable,96514410-2,4/1/2012,27/02/2012
