,Fecha Inicio Operaciones,Fecha Resolución de aprobación del reglamento interno del fondo,Nombre Fondo Inversión,R.U.N. del Fondo,R.U.T. Administradora,Tipo de Fondo de Inversión
0,02/03/2016,30/12/2015,AINA FONDO DE INVERSION,9278-9,96514410-2,No Rescatable
1,22/01/2019,19/01/2019,AMERIS CARTERAS COMERCIALES I FONDO DE INVERSION,9709-8,76503273-3,No Rescatable
2,,07/05/2019,AMERIS CESL II FONDO DE INVERSIÓN,9744-6,76503273-3,No Rescatable
3,06/01/2017,21/12/2016,AMERIS DESARROLLO INMOBILIARIO PERÚ FONDO DE INVERSIÓN,9413-7,76503273-3,No Rescatable
4,01/08/2017,24/06/2017,AMERIS DESARROLLO INMOBILIARIO VI FONDO DE INVERSIÓN,9472-2,76503273-3,No Rescatable
5,28/08/2017,10/08/2017,AMERIS DEUDA DIRECTA FONDO DE INVERSION,9495-1,76503273-3,No Rescatable
6,,26/12/2018,AMERIS LGT CCO II FONDO DE INVERSIÓN,9702-0,76503273-3,No Rescatable
7,24/01/2017,14/09/2016,AMERIS LGT SECONDARIES IV FONDO DE INVERSIÓN,9378-5,76503273-3,No Rescatable
8,29/01/2016,30/01/2016,AMERIS MULTIFAMILY I FONDO DE INVERSION,9292-4,76503273-3,No Rescatable
9,20/12/2016,26/11/2016,AMERIS MULTIFAMILY II FONDO DE INVERSIÓN,9401-3,76503273-3,No Rescatable
10,18/07/2017,08/06/2017,AMERIS NM GUARDIAN II FONDO DE INVERSIÓN,9461-7,76503273-3,No Rescatable
11,31/01/2019,27/11/2018,AMERIS PARAUCO FONDO DE INVERSIÓN,9689-K,76503273-3,No Rescatable
12,22/03/2019,26/08/2017,AMERIS PRIVATE EQUITY NORDIC IX FONDO DE INVERSIÓN,9506-0,76503273-3,No Rescatable
13,24/07/2018,15/05/2018,AMERIS RENTA RESIDENCIAL FONDO DE INVERSIÓN,9613-K,76503273-3,No Rescatable
14,,16/11/2018,AMERIS RENTAS INMOBILIARIAS USA I FONDO DE INVERSIÓN,9683-0,76503273-3,No Rescatable
15,05/07/2016,22/06/2016,AMERIS UPC DESARROLLO INMOBILIARIO FONDO DE INVERSION,9338-6,76503273-3,No Rescatable
16,19/12/2016,13/12/2016,ASSET ATLAS RENEWABLE ENERGY FONDO DE INVERSIÓN,9408-0,76172904-7,No Rescatable
17,16/12/2017,16/12/2017,ASSET PHOENIX INFRASTRUCTURE FONDO DE INVERSION,9558-3,76172904-7,No Rescatable
18,09/11/2016,15/09/2016,ASSET- CRESCENT FONDO DE INVERSIÓN,9379-3,76172904-7,No Rescatable
19,25/02/2015,26/02/2015,BANCHILE FONDO DE INVERSION MINERO ASSET CHILE,9151-0,96767630-6,No Rescatable
20,28/11/2018,03/10/2018,BCI LMV II-B FONDO DE INVERSION,9662-8,96530900-4,No Rescatable
21,30/12/2014,26/12/2014,BCI SMALL CAP CHILE FONDO DE INVERSION,9113-8,96530900-4,No Rescatable
